outer_fold,model,trial_number,inner_cv_mean_mae,state,parameters_json
3,gradient_boosting,12,929.5380264335333,COMPLETE,"{""learning_rate"": 0.07326199291976372, ""max_depth"": 3, ""min_samples_leaf"": 1, ""n_estimators"": 125}"
3,gradient_boosting,13,973.2735305640596,COMPLETE,"{""learning_rate"": 0.1497916579158248, ""max_depth"": 3, ""min_samples_leaf"": 1, ""n_estimators"": 150}"
3,gradient_boosting,14,938.2076534063265,COMPLETE,"{""learning_rate"": 0.0524805613787435, ""max_depth"": 2, ""min_samples_leaf"": 2, ""n_estimators"": 175}"
3,gradient_boosting,15,969.7058333755485,COMPLETE,"{""learning_rate"": 0.09191571469982786, ""max_depth"": 3, ""min_samples_leaf"": 2, ""n_estimators"": 100}"
3,gradient_boosting,16,998.0713657618435,COMPLETE,"{""learning_rate"": 0.042850367457611976, ""max_depth"": 2, ""min_samples_leaf"": 3, ""n_estimators"": 125}"
3,gradient_boosting,17,2074.252302310374,COMPLETE,"{""learning_rate"": 0.01029357039355369, ""max_depth"": 4, ""min_samples_leaf"": 1, ""n_estimators"": 175}"
3,gradient_boosting,18,973.7996985130249,COMPLETE,"{""learning_rate"": 0.11224778743686575, ""max_depth"": 3, ""min_samples_leaf"": 2, ""n_estimators"": 100}"
3,gradient_boosting,19,971.7162106736199,COMPLETE,"{""learning_rate"": 0.039417308199165016, ""max_depth"": 2, ""min_samples_leaf"": 4, ""n_estimators"": 150}"
4,ridge,0,416.8401059865766,COMPLETE,"{""alpha"": 0.09405477980186695}"
4,ridge,1,399.65110072313394,COMPLETE,"{""alpha"": 0.009795648790157404}"
4,ridge,2,401.4430205889022,COMPLETE,"{""alpha"": 0.01879989090326043}"
4,ridge,3,741.6879517222592,COMPLETE,"{""alpha"": 11.033841416855312}"
4,ridge,4,741.9074492760772,COMPLETE,"{""alpha"": 9.551593513561611}"
4,ridge,5,428.13547013617773,COMPLETE,"{""alpha"": 0.15199928633693308}"
4,ridge,6,659.2385807749722,COMPLETE,"{""alpha"": 27.971906220825883}"
4,ridge,7,401.7820196481463,COMPLETE,"{""alpha"": 0.020482216351448368}"
4,ridge,8,399.7926463355935,COMPLETE,"{""alpha"": 0.010515027136782278}"
4,ridge,9,451.1214944933061,COMPLETE,"{""alpha"": 0.2832220352804781}"
4,ridge,10,397.9982265176978,COMPLETE,"{""alpha"": 0.0011673970424861818}"
4,ridge,11,397.9718004226265,COMPLETE,"{""alpha"": 0.001024815169427098}"
4,ridge,12,397.9858113142862,COMPLETE,"{""alpha"": 0.001100423669252718}"
4,ridge,13,398.01675460046744,COMPLETE,"{""alpha"": 0.0012673041697128524}"
4,ridge,14,398.2871256301315,COMPLETE,"{""alpha"": 0.0027188293267780004}"
4,ridge,15,398.5632324090042,COMPLETE,"{""alpha"": 0.004184419931252617}"
4,ridge,16,397.9764432449335,COMPLETE,"{""alpha"": 0.001049872945684034}"
4,ridge,17,527.38131808996,COMPLETE,"{""alpha"": 0.8832783168089755}"
4,ridge,18,407.9444721675529,COMPLETE,"{""alpha"": 0.05043523377950302}"
4,ridge,19,398.5289644642575,COMPLETE,"{""alpha"": 0.0040032290030253504}"
4,random_forest,0,790.214005277607,COMPLETE,"{""max_depth"": 19, ""max_features"": 0.7852124345407848, ""min_samples_leaf"": 1, ""n_estimators"": 200}"
4,random_forest,1,913.6390789555459,COMPLETE,"{""max_depth"": 8, ""max_features"": 0.5907694607366974, ""min_samples_leaf"": 6, ""n_estimators"": 175}"
